CybORG v2.1, Scenario2, Commit Hash: b6cb7403b198021ac9355a6f02ac26f925379c05
author: test, team: test, technique: test
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -216.02199999999993, standard deviation 19.65935960813627
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.198.176/28'), ('Sleep', 'DiscoverNetworkServices 10.0.198.181'), ('Sleep', 'ExploitRemoteService 10.0.198.181'), ('Sleep', 'PrivilegeEscalate User1'), ('Sleep', 'DiscoverNetworkServices 10.0.122.54'), ('Sleep', 'ExploitRemoteService 10.0.122.54'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.122.48/28'), ('Sleep', 'DiscoverNetworkServices 10.0.122.51'), ('Sleep', 'ExploitRemoteService 10.0.122.51'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.52.142'), ('Sleep', 'ExploitRemoteService 10.0.52.142'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.242.0/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.242.4'), ('Monitor', 'ExploitRemoteService 10.0.242.4'), ('Analyse User1', 'PrivilegeEscalate User4'), ('Sleep', 'DiscoverNetworkServices 10.0.241.198'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.241.198'), ('Monitor', 'PrivilegeEscalate Enterprise0'), ('Sleep', 'DiscoverRemoteSystems 10.0.241.192/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.241.193'), ('Analyse Defender', 'ExploitRemoteService 10.0.241.193'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.247.225'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.247.225'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.141.0/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.141.3'), ('Monitor', 'ExploitRemoteService 10.0.141.3'), ('Sleep', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.104.170'), ('Remove User0', 'ExploitRemoteService 10.0.104.170'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.104.160/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.104.168'), ('Sleep', 'ExploitRemoteService 10.0.104.168'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.217.230'), ('Analyse User3', 'ExploitRemoteService 10.0.217.230'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.146.160/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.146.167'), ('Monitor', 'ExploitRemoteService 10.0.146.167'), ('Sleep', 'PrivilegeEscalate User3'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.64.87'), ('Monitor', 'ExploitRemoteService 10.0.64.87'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Remove User1', 'DiscoverRemoteSystems 10.0.64.80/28'), ('Sleep', 'DiscoverNetworkServices 10.0.64.84'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.64.84'), ('Analyse Defender', 'ExploitRemoteService 10.0.64.87'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.64.80/28'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.64.84'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.64.84'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.27.57'), ('Analyse Defender', 'ExploitRemoteService 10.0.27.57'), ('Analyse User4', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0')], total reward: -163.69999999999996
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.177.144/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.177.147'), ('Monitor', 'ExploitRemoteService 10.0.177.147'), ('Sleep', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.95.110'), ('Monitor', 'ExploitRemoteService 10.0.95.110'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.95.96/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.95.106'), ('Analyse User1', 'ExploitRemoteService 10.0.95.106'), ('Analyse User4', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.88.72'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.88.72'), ('Remove User2', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.230.224/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.230.235'), ('Monitor', 'ExploitRemoteService 10.0.230.235'), ('Sleep', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.37.85'), ('Monitor', 'ExploitRemoteService 10.0.37.85'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.37.80/28'), ('Remove User0', 'DiscoverNetworkServices 10.0.37.87'), ('Sleep', 'ExploitRemoteService 10.0.37.87'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.37.85'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.37.80/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.37.87'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.37.87'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.239.178'), ('Sleep', 'ExploitRemoteService 10.0.239.178'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -163.69999999999996
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.232.144/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.232.151'), ('Monitor', 'ExploitRemoteService 10.0.232.151'), ('Sleep', 'PrivilegeEscalate User3'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.136.131'), ('Analyse User3', 'ExploitRemoteService 10.0.136.131'), ('Remove Op_Server0', 'PrivilegeEscalate Enterprise0'), ('Sleep', 'DiscoverRemoteSystems 10.0.136.128/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.136.132'), ('Analyse Defender', 'ExploitRemoteService 10.0.136.132'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse User3', 'DiscoverNetworkServices 10.0.239.184'), ('Sleep', 'ExploitRemoteService 10.0.239.184'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.117.192/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.117.194'), ('Monitor', 'ExploitRemoteService 10.0.117.194'), ('Sleep', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.177.221'), ('Monitor', 'ExploitRemoteService 10.0.177.221'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.177.208/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.177.211'), ('Sleep', 'ExploitRemoteService 10.0.177.211'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.237.43'), ('Sleep', 'ExploitRemoteService 10.0.237.43'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.37.48/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.37.54'), ('Monitor', 'ExploitRemoteService 10.0.37.54'), ('Sleep', 'PrivilegeEscalate User1'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.175.1'), ('Sleep', 'ExploitRemoteService 10.0.175.1'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise1'), ('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.175.0/28'), ('Sleep', 'DiscoverNetworkServices 10.0.175.5'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.175.5'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.109.78'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.109.78'), ('Analyse Op_Host0', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -224.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.158.0/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.158.5'), ('Sleep', 'ExploitRemoteService 10.0.158.5'), ('Analyse Enterprise2', 'PrivilegeEscalate User4'), ('Monitor', 'DiscoverNetworkServices 10.0.110.252'), ('Sleep', 'ExploitRemoteService 10.0.110.252'), ('Remove Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Sleep', 'DiscoverRemoteSystems 10.0.110.240/28'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.110.245'), ('Sleep', 'ExploitRemoteService 10.0.110.245'), ('Analyse User4', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.10.137'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.10.137'), ('Analyse Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.247.192/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.247.206'), ('Monitor', 'ExploitRemoteService 10.0.247.206'), ('Sleep', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.49.115'), ('Monitor', 'ExploitRemoteService 10.0.49.115'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.49.112/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.49.125'), ('Sleep', 'ExploitRemoteService 10.0.49.125'), ('Analyse User4', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.227.35'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.227.35'), ('Analyse Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.213.160/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.213.166'), ('Monitor', 'ExploitRemoteService 10.0.213.166'), ('Sleep', 'PrivilegeEscalate User4'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.49.211'), ('Monitor', 'ExploitRemoteService 10.0.49.211'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.49.208/28'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.49.210'), ('Sleep', 'ExploitRemoteService 10.0.49.210'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.228.135'), ('Analyse Defender', 'ExploitRemoteService 10.0.228.135'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.143.96/28'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.143.99'), ('Sleep', 'ExploitRemoteService 10.0.143.99'), ('Analyse Enterprise2', 'PrivilegeEscalate User1'), ('Monitor', 'DiscoverNetworkServices 10.0.161.177'), ('Sleep', 'ExploitRemoteService 10.0.161.177'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise1'), ('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.161.176/28'), ('Sleep', 'DiscoverNetworkServices 10.0.161.183'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.161.183'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.10.43'), ('Remove User0', 'ExploitRemoteService 10.0.10.43'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.40.48/28'), ('Analyse User1', 'DiscoverNetworkServices 10.0.40.60'), ('Sleep', 'ExploitRemoteService 10.0.40.60'), ('Analyse Enterprise2', 'PrivilegeEscalate User4'), ('Monitor', 'DiscoverNetworkServices 10.0.102.19'), ('Sleep', 'ExploitRemoteService 10.0.102.19'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise0'), ('Analyse Defender', 'DiscoverRemoteSystems 10.0.102.16/28'), ('Remove User2', 'DiscoverNetworkServices 10.0.102.26'), ('Sleep', 'ExploitRemoteService 10.0.102.26'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.180.29'), ('Sleep', 'ExploitRemoteService 10.0.180.29'), ('Remove User2', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.76.208/28'), ('Remove User4', 'DiscoverNetworkServices 10.0.76.214'), ('Sleep', 'ExploitRemoteService 10.0.76.214'), ('Analyse Enterprise2', 'PrivilegeEscalate User3'), ('Monitor', 'DiscoverNetworkServices 10.0.107.241'), ('Sleep', 'ExploitRemoteService 10.0.107.241'), ('Monitor', 'PrivilegeEscalate Enterprise0'), ('Sleep', 'DiscoverRemoteSystems 10.0.107.240/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.107.250'), ('Analyse Defender', 'ExploitRemoteService 10.0.107.250'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.137.247'), ('Monitor', 'ExploitRemoteService 10.0.137.247'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.247.96/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.247.97'), ('Monitor', 'ExploitRemoteService 10.0.247.97'), ('Sleep', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.70.169'), ('Monitor', 'ExploitRemoteService 10.0.70.169'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.70.160/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.70.161'), ('Sleep', 'ExploitRemoteService 10.0.70.161'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Monitor', 'DiscoverNetworkServices 10.0.181.227'), ('Sleep', 'ExploitRemoteService 10.0.181.227'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -223.79999999999993
steps: 30, adversary: RedMeanderAgent, mean: -38.696, standard deviation 18.678194059740715
