CybORG v2.1, Scenario2, Commit Hash: b6cb7403b198021ac9355a6f02ac26f925379c05
author: test, team: test, technique: test
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -217.57699999999994, standard deviation 17.919482400308027
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.192.80/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.192.86'), ('Monitor', 'ExploitRemoteService 10.0.192.86'), ('Sleep', 'PrivilegeEscalate User4'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.194.188'), ('Monitor', 'ExploitRemoteService 10.0.194.188'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host2', 'DiscoverRemoteSystems 10.0.194.176/28'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.194.181'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.194.181'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.182.125'), ('Analyse Defender', 'ExploitRemoteService 10.0.182.125'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.42.128/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.42.141'), ('Monitor', 'ExploitRemoteService 10.0.42.141'), ('Sleep', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.28.182'), ('Monitor', 'ExploitRemoteService 10.0.28.182'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.28.176/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.28.178'), ('Sleep', 'ExploitRemoteService 10.0.28.178'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.129.205'), ('Sleep', 'ExploitRemoteService 10.0.129.205'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Monitor', 'DiscoverRemoteSystems 10.0.197.128/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.197.135'), ('Sleep', 'ExploitRemoteService 10.0.197.135'), ('Analyse Enterprise2', 'PrivilegeEscalate User3'), ('Monitor', 'DiscoverNetworkServices 10.0.156.102'), ('Sleep', 'ExploitRemoteService 10.0.156.102'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise0'), ('Analyse Defender', 'DiscoverRemoteSystems 10.0.156.96/28'), ('Remove User0', 'DiscoverNetworkServices 10.0.156.101'), ('Sleep', 'ExploitRemoteService 10.0.156.101'), ('Remove Op_Host2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.132.52'), ('Sleep', 'ExploitRemoteService 10.0.132.52'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.32.64/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.32.70'), ('Monitor', 'ExploitRemoteService 10.0.32.70'), ('Sleep', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.118.58'), ('Monitor', 'ExploitRemoteService 10.0.118.58'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.118.48/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.118.50'), ('Sleep', 'ExploitRemoteService 10.0.118.50'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.174.206'), ('Monitor', 'ExploitRemoteService 10.0.174.206'), ('Remove User0', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.63.208/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.63.209'), ('Monitor', 'ExploitRemoteService 10.0.63.209'), ('Sleep', 'PrivilegeEscalate User4'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.186.155'), ('Monitor', 'ExploitRemoteService 10.0.186.155'), ('Analyse User2', 'PrivilegeEscalate Enterprise0'), ('Sleep', 'DiscoverRemoteSystems 10.0.186.144/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.186.158'), ('Analyse Defender', 'ExploitRemoteService 10.0.186.158'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.60.212'), ('Analyse Defender', 'ExploitRemoteService 10.0.60.212'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.198.64/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.198.78'), ('Monitor', 'ExploitRemoteService 10.0.198.78'), ('Sleep', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.78.107'), ('Monitor', 'ExploitRemoteService 10.0.78.107'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.78.96/28'), ('Monitor', 'DiscoverNetworkServices 10.0.78.109'), ('Sleep', 'ExploitRemoteService 10.0.78.109'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Monitor', 'DiscoverNetworkServices 10.0.23.193'), ('Sleep', 'ExploitRemoteService 10.0.23.193'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.238.192/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.238.205'), ('Monitor', 'ExploitRemoteService 10.0.238.205'), ('Sleep', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.100.42'), ('Monitor', 'ExploitRemoteService 10.0.100.42'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.100.32/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.100.43'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.100.43'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.222.153'), ('Analyse Defender', 'ExploitRemoteService 10.0.222.153'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse Enterprise1', 'DiscoverRemoteSystems 10.0.78.80/28'), ('Sleep', 'DiscoverNetworkServices 10.0.78.92'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.78.92'), ('Monitor', 'PrivilegeEscalate User2'), ('Sleep', 'DiscoverNetworkServices 10.0.75.62'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.75.62'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.75.48/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.75.49'), ('Sleep', 'ExploitRemoteService 10.0.75.49'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Remove User2', 'DiscoverNetworkServices 10.0.94.39'), ('Sleep', 'ExploitRemoteService 10.0.94.39'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.72.112/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.72.114'), ('Monitor', 'ExploitRemoteService 10.0.72.114'), ('Sleep', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.169.165'), ('Monitor', 'ExploitRemoteService 10.0.169.165'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.169.160/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.169.164'), ('Sleep', 'ExploitRemoteService 10.0.169.164'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Remove User1', 'DiscoverNetworkServices 10.0.187.139'), ('Sleep', 'ExploitRemoteService 10.0.187.139'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.70.160/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.70.171'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.70.171'), ('Sleep', 'PrivilegeEscalate User1'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.80.170'), ('Monitor', 'ExploitRemoteService 10.0.80.170'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.80.160/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.80.167'), ('Sleep', 'ExploitRemoteService 10.0.80.167'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse User4', 'DiscoverNetworkServices 10.0.108.118'), ('Sleep', 'ExploitRemoteService 10.0.108.118'), ('Monitor', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.251.96/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.251.102'), ('Monitor', 'ExploitRemoteService 10.0.251.102'), ('Sleep', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.123.178'), ('Monitor', 'ExploitRemoteService 10.0.123.178'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host1', 'DiscoverRemoteSystems 10.0.123.176/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.123.177'), ('Sleep', 'ExploitRemoteService 10.0.123.177'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.123.178'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.123.176/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.123.177'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.123.177'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.200.51'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.200.51'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0')], total reward: -163.79999999999995
actions: [('Analyse Op_Host2', 'DiscoverRemoteSystems 10.0.130.240/28'), ('Remove User3', 'DiscoverNetworkServices 10.0.130.241'), ('Sleep', 'ExploitRemoteService 10.0.130.241'), ('Analyse Enterprise2', 'PrivilegeEscalate User2'), ('Monitor', 'DiscoverNetworkServices 10.0.233.107'), ('Remove User0', 'ExploitRemoteService 10.0.233.107'), ('Remove User3', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.233.96/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.233.104'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.233.104'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.172.23'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.172.23'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.164.112/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.164.125'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.164.125'), ('Sleep', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.143.39'), ('Monitor', 'ExploitRemoteService 10.0.143.39'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise1'), ('Analyse Defender', 'DiscoverRemoteSystems 10.0.143.32/28'), ('Sleep', 'DiscoverNetworkServices 10.0.143.40'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.143.40'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.248.34'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.248.34'), ('Analyse Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.110.240/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.110.254'), ('Analyse User1', 'ExploitRemoteService 10.0.110.254'), ('Sleep', 'PrivilegeEscalate User4'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.9.205'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.9.205'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.9.192/28'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.9.197'), ('Sleep', 'ExploitRemoteService 10.0.9.197'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.179.82'), ('Sleep', 'ExploitRemoteService 10.0.179.82'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0')], total reward: -224.79999999999993
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.74.176/28'), ('Monitor', 'DiscoverNetworkServices 10.0.74.188'), ('Sleep', 'ExploitRemoteService 10.0.74.188'), ('Analyse Enterprise2', 'PrivilegeEscalate User4'), ('Monitor', 'DiscoverNetworkServices 10.0.223.49'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.223.49'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise0'), ('Sleep', 'DiscoverRemoteSystems 10.0.223.48/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.223.52'), ('Analyse Defender', 'ExploitRemoteService 10.0.223.52'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User2', 'ExploitRemoteService 10.0.223.52'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.227.93'), ('Analyse Defender', 'ExploitRemoteService 10.0.227.93'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0')], total reward: -199.69999999999996
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.101.240/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.101.247'), ('Sleep', 'ExploitRemoteService 10.0.101.247'), ('Analyse Enterprise2', 'PrivilegeEscalate User4'), ('Remove User2', 'DiscoverNetworkServices 10.0.226.88'), ('Sleep', 'ExploitRemoteService 10.0.226.88'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise0'), ('Analyse Defender', 'DiscoverRemoteSystems 10.0.226.80/28'), ('Sleep', 'DiscoverNetworkServices 10.0.226.83'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.226.83'), ('Analyse Defender', 'ExploitRemoteService 10.0.226.88'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.226.80/28'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.226.83'), ('Sleep', 'ExploitRemoteService 10.0.226.83'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise2'), ('Remove User2', 'DiscoverNetworkServices 10.0.233.182'), ('Sleep', 'ExploitRemoteService 10.0.233.182'), ('Analyse Op_Host2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0')], total reward: -163.79999999999995
