CybORG v2.1, Scenario2, Commit Hash: 26ce1c1253fa9e2e73f25e6a7f2da32860c11257
author: tes, team: test, technique: test
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -162.06499999999997, standard deviation 79.2599627297363
actions: [('DecoyApache Op_Server0', 'DiscoverRemoteSystems 10.0.178.144/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.178.152'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.178.152'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User1'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.231.253'), ('DecoyApache User3', 'ExploitRemoteService 10.0.231.253'), ('Remove User1', 'ExploitRemoteService 10.0.178.152'), ('Analyse User0', 'PrivilegeEscalate User1'), ('Remove User3', 'DiscoverNetworkServices 10.0.231.253'), ('Remove User0', 'ExploitRemoteService 10.0.231.253'), ('Remove Enterprise0', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User2', 'DiscoverRemoteSystems 10.0.231.240/28'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.231.254'), ('Remove User3', 'ExploitRemoteService 10.0.231.254'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.178.140'), ('Sleep', 'ExploitRemoteService 10.0.178.140'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.231.254'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.178.140'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.178.140'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.231.254'), ('Analyse User1', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.178.140'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.178.140'), ('Remove User3', 'ExploitRemoteService 10.0.231.254'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.178.140'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.178.140'), ('DecoyApache User4', 'ExploitRemoteService 10.0.231.254')], total reward: -38.80000000000001
actions: [('DecoyApache Enterprise1', 'DiscoverRemoteSystems 10.0.0.96/28'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.0.98'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.0.97'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.0.104'), ('Remove User4', 'DiscoverNetworkServices 10.0.0.109'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.0.99'), ('Remove Op_Server0', 'PrivilegeEscalate User0'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.0.98'), ('Analyse User1', 'PrivilegeEscalate User3'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.175.148'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.0.99'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.0.104'), ('Analyse Enterprise2', 'PrivilegeEscalate User4'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.0.97'), ('DecoyFemitter User4', 'PrivilegeEscalate User1'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.175.145'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.175.145'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.0.109'), ('DecoyFemitter User4', 'PrivilegeEscalate User2'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.175.148'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.175.144/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.175.157'), ('Remove User1', 'DiscoverNetworkServices 10.0.175.146'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.175.146'), ('Remove Defender', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.160.102'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.175.157'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.175.146'), ('Remove User4', 'PrivilegeEscalate Enterprise2')], total reward: -22.2
actions: [('DecoyFemitter Op_Host0', 'DiscoverRemoteSystems 10.0.87.240/28'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.87.248'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.87.246'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.87.242'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.87.241'), ('Remove User1', 'DiscoverNetworkServices 10.0.87.244'), ('Remove User0', 'PrivilegeEscalate User0'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.87.246'), ('DecoyApache User3', 'PrivilegeEscalate User1'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.8.237'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.8.237'), ('Remove Enterprise0', 'PrivilegeEscalate Enterprise1'), ('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.8.224/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.8.230'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.8.232'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.8.229'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.87.244'), ('Remove Op_Host0', 'PrivilegeEscalate User4'), ('Analyse User3', 'ExploitRemoteService 10.0.87.248'), ('DecoyFemitter User3', 'PrivilegeEscalate User3'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.87.242'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.87.241'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.8.230'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.8.230'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.87.242'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.8.232'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User4', 'ExploitRemoteService 10.0.8.230'), ('Remove User0', 'ExploitRemoteService 10.0.8.237'), ('DecoyFemitter User2', 'PrivilegeEscalate Enterprise1')], total reward: -27.700000000000006
actions: [('Analyse Op_Host2', 'DiscoverRemoteSystems 10.0.170.128/28'), ('DecoyApache Enterprise2', 'DiscoverNetworkServices 10.0.170.135'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.170.142'), ('Analyse User1', 'DiscoverNetworkServices 10.0.170.133'), ('Remove User2', 'DiscoverNetworkServices 10.0.170.141'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.170.129'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User0'), ('Analyse Defender', 'ExploitRemoteService 10.0.170.133'), ('DecoyApache User1', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.132.99'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.170.135'), ('Analyse Op_Server0', 'PrivilegeEscalate User4'), ('Monitor', 'DiscoverNetworkServices 10.0.132.98'), ('Remove User4', 'ExploitRemoteService 10.0.132.99'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.132.96/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.132.105'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.132.107'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.170.142'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.170.142'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.170.141'), ('DecoyFemitter User1', 'PrivilegeEscalate User3'), ('Analyse User4', 'ExploitRemoteService 10.0.132.105'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.132.105'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.132.105'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.170.129'), ('DecoyApache User0', 'ExploitRemoteService 10.0.132.107'), ('Analyse User2', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.136.155'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.136.155')], total reward: -24.300000000000008
actions: [('Remove Op_Host2', 'DiscoverRemoteSystems 10.0.222.224/28'), ('Analyse User0', 'DiscoverNetworkServices 10.0.222.231'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.222.234'), ('Monitor', 'DiscoverNetworkServices 10.0.222.237'), ('Monitor', 'DiscoverNetworkServices 10.0.222.227'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.222.233'), ('DecoyFemitter User2', 'PrivilegeEscalate User0'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.222.237'), ('DecoyApache Enterprise1', 'PrivilegeEscalate User2'), ('Remove User2', 'DiscoverNetworkServices 10.0.126.89'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.222.231'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Analyse Defender', 'ExploitRemoteService 10.0.222.227'), ('DecoyApache User4', 'ExploitRemoteService 10.0.222.233'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User3'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.126.92'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.126.92'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host2', 'DiscoverRemoteSystems 10.0.126.80/28'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.126.83'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.126.94'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.126.94'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.126.92'), ('Analyse User3', 'PrivilegeEscalate Enterprise0'), ('Remove User4', 'ExploitRemoteService 10.0.126.89'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.126.94'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.126.89'), ('Analyse Defender', 'PrivilegeEscalate Enterprise1'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.222.234')], total reward: -23.900000000000002
actions: [('DecoyFemitter Op_Server0', 'DiscoverRemoteSystems 10.0.156.16/28'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.156.28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.156.18'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.156.26'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.156.23'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.156.21'), ('DecoyFemitter User2', 'PrivilegeEscalate User0'), ('Analyse User2', 'ExploitRemoteService 10.0.156.23'), ('DecoyApache Op_Host0', 'PrivilegeEscalate User1'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.54.125'), ('DecoyApache User0', 'ExploitRemoteService 10.0.156.21'), ('DecoyApache User2', 'PrivilegeEscalate User4'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.54.120'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.156.18'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.54.120'), ('Remove Op_Host1', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter User1', 'DiscoverRemoteSystems 10.0.54.112/28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.54.121'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.54.124'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.156.28'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.54.124'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.54.121'), ('Remove User0', 'PrivilegeEscalate Enterprise2'), ('Remove User0', 'DiscoverNetworkServices 10.0.178.13'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.54.124'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.54.124'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.156.26'), ('DecoyApache User3', 'PrivilegeEscalate User2'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.54.125'), ('Monitor', 'PrivilegeEscalate Enterprise1')], total reward: -28.7
actions: [('DecoyFemitter Defender', 'DiscoverRemoteSystems 10.0.9.0/28'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.9.10'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.9.3'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.9.7'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.9.11'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.9.6'), ('Analyse User3', 'PrivilegeEscalate User0'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.9.3'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.9.11'), ('Remove Enterprise1', 'PrivilegeEscalate User4'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.146.245'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.146.245'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.146.240/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.146.242'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.146.254'), ('Analyse User3', 'DiscoverNetworkServices 10.0.146.250'), ('Remove Defender', 'ExploitRemoteService 10.0.146.250'), ('Analyse User1', 'PrivilegeEscalate Enterprise1'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.146.254'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.146.254'), ('DecoyApache User4', 'ExploitRemoteService 10.0.146.250'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.9.6'), ('DecoyApache User1', 'PrivilegeEscalate User2'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.146.245'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.146.242'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.146.250'), ('Remove Op_Host1', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.146.242')], total reward: -32.9
actions: [('Analyse Defender', 'DiscoverRemoteSystems 10.0.104.112/28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.104.123'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.104.122'), ('Remove User2', 'DiscoverNetworkServices 10.0.104.121'), ('Remove User0', 'DiscoverNetworkServices 10.0.104.116'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.104.117'), ('Analyse User0', 'PrivilegeEscalate User0'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.104.122'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User2'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.153.115'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.153.115'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.153.112/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.153.121'), ('Sleep', 'DiscoverNetworkServices 10.0.153.120'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.153.114'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.104.123'), ('Analyse User2', 'PrivilegeEscalate User4'), ('Analyse User0', 'ExploitRemoteService 10.0.104.116'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.153.120'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.153.121'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.153.114'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.153.120'), ('DecoyApache User4', 'ExploitRemoteService 10.0.153.121'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.153.121'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.153.115'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.153.121'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.153.114')], total reward: -32.699999999999996
actions: [('DecoyFemitter User4', 'DiscoverRemoteSystems 10.0.199.80/28'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.199.90'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.199.91'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.199.89'), ('Analyse User2', 'DiscoverNetworkServices 10.0.199.87'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.199.85'), ('Analyse Enterprise1', 'PrivilegeEscalate User0'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.199.85'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate User4'), ('Remove User2', 'DiscoverNetworkServices 10.0.176.150'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.199.87'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User1'), ('Remove User3', 'DiscoverNetworkServices 10.0.176.149'), ('Remove User2', 'ExploitRemoteService 10.0.176.149'), ('Remove User3', 'PrivilegeEscalate Enterprise1'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.176.144/28'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.176.145'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.176.152'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.199.89'), ('Analyse User4', 'ExploitRemoteService 10.0.199.90'), ('DecoyApache User3', 'PrivilegeEscalate User3'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.176.145'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.176.145'), ('Monitor', 'ExploitRemoteService 10.0.176.150'), ('Remove User1', 'ExploitRemoteService 10.0.176.150'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.176.145'), ('Analyse User3', 'ExploitRemoteService 10.0.176.149'), ('Remove Defender', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User0', 'ExploitRemoteService 10.0.176.150'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.199.91')], total reward: -21.500000000000004
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.57.0/28'), ('Analyse User1', 'DiscoverNetworkServices 10.0.57.8'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.57.1'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.57.4'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.57.2'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.57.14'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate User0'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.57.2'), ('DecoyFemitter Defender', 'PrivilegeEscalate User3'), ('Analyse User3', 'DiscoverNetworkServices 10.0.74.118'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.57.4'), ('Remove Op_Host1', 'PrivilegeEscalate User4'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.57.1'), ('Analyse Defender', 'ExploitRemoteService 10.0.57.14'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User2'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.74.123'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.57.8'), ('DecoyApache User1', 'PrivilegeEscalate User1'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.74.118'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.74.112/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.74.120'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.74.121'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.74.120'), ('DecoyApache Defender', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.168.181'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.74.121'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.74.118'), ('DecoyApache User2', 'PrivilegeEscalate Enterprise0'), ('Analyse User2', 'ExploitRemoteService 10.0.74.121')], total reward: -24.4
actions: [('DecoyFemitter User0', 'DiscoverRemoteSystems 10.0.5.128/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.5.133'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.5.140'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.5.137'), ('Analyse User1', 'DiscoverNetworkServices 10.0.5.141'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.5.142'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User0'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.5.133'), ('DecoyApache User3', 'PrivilegeEscalate User1'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.187.70'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.5.140'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.5.140'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User2'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.5.137'), ('Analyse User3', 'PrivilegeEscalate User3'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.187.68'), ('Analyse User2', 'ExploitRemoteService 10.0.187.70'), ('DecoyApache Op_Host2', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.187.64/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.187.74'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.187.77'), ('Remove User0', 'ExploitRemoteService 10.0.5.141'), ('Remove User4', 'PrivilegeEscalate User4'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.187.74'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.223.23'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.5.141'), ('Analyse User4', 'PrivilegeEscalate User4'), ('Remove User3', 'ExploitRemoteService 10.0.5.142'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.187.68')], total reward: -25.199999999999996
actions: [('Remove Op_Host0', 'DiscoverRemoteSystems 10.0.179.128/28'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.179.131'), ('Analyse User1', 'DiscoverNetworkServices 10.0.179.134'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.179.139'), ('Monitor', 'DiscoverNetworkServices 10.0.179.135'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.179.137'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User0'), ('Remove User0', 'ExploitRemoteService 10.0.179.137'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.179.134'), ('Monitor', 'PrivilegeEscalate User1'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.72.157'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.179.131'), ('Monitor', 'PrivilegeEscalate User4'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.72.158'), ('Analyse Defender', 'ExploitRemoteService 10.0.72.157'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Host0', 'DiscoverRemoteSystems 10.0.72.144/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.72.155'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.72.151'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.72.155'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.72.158'), ('DecoyFemitter User2', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.72.151'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.206.108'), ('Remove User2', 'ExploitRemoteService 10.0.72.157'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Enterprise1'), ('Remove User1', 'ExploitRemoteService 10.0.179.135'), ('Analyse Op_Server0', 'PrivilegeEscalate User3'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.206.108')], total reward: -35.3
actions: [('Remove User1', 'DiscoverRemoteSystems 10.0.140.16/28'), ('Analyse User1', 'DiscoverNetworkServices 10.0.140.19'), ('Analyse User0', 'DiscoverNetworkServices 10.0.140.23'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.140.24'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.140.21'), ('Remove Defender', 'DiscoverNetworkServices 10.0.140.29'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User0'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.140.24'), ('Analyse Enterprise0', 'PrivilegeEscalate User4'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.22.136'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.140.19'), ('Analyse User4', 'ExploitRemoteService 10.0.140.29'), ('DecoyApache User2', 'PrivilegeEscalate User1'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.22.137'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.140.21'), ('DecoyApache User2', 'PrivilegeEscalate User3'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.22.137'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User3', 'DiscoverRemoteSystems 10.0.22.128/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.22.133'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.22.142'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.22.142'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.22.136'), ('Analyse Defender', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.22.133'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.140.23'), ('DecoyApache User1', 'PrivilegeEscalate User2'), ('DecoyApache User1', 'ExploitRemoteService 10.0.22.142'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.214.88')], total reward: -28.299999999999994
